username,id,date,time,user_id,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to,retweet_date,score
elaineallard4,550000000000000000,12/31/2014,16:42:36,612146665,Elaine Allard,,Dernière journée de travail enfin terminée...Officiellement athlète à temps plein! #TO2015 #RoadtoRio #livingthedream #Merci @RBC,['rbc'],[],[],0,1,2,"['#to2015', '#roadtorio', '#livingthedream', '#merci']",[],https://twitter.com/elaineallard4/status/550406694065680384,False,,0,"[{'user_id': '612146665', 'username': 'elaineallard4'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.7
tpschrisboddy,550000000000000000,12/31/2014,16:40:52,344754757,Chris Boddy,,@RBC @HockeyCanada @HC_Men,"['rbc', 'hockeycanada', 'hc_men']",[],[],0,0,0,[],[],https://twitter.com/TPSChrisBoddy/status/550406258503991296,False,,0,"[{'user_id': '344754757', 'username': 'TPSChrisBoddy'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}, {'user_id': '202269158', 'username': 'HC_Men'}]",,0.0
wealth_mgmt,550000000000000000,12/31/2014,12:40:45,90502419,WealthManagement.com,,"John Taft, @RBC Wealth Mgmt wants to embrace a new incarnation of financial capitalism in 2015:  http://bit.ly/1BidYyi",['rbc'],['http://bit.ly/1BidYyi'],[],0,1,0,[],[],https://twitter.com/wealth_mgmt/status/550345829198729216,False,,0,"[{'user_id': '90502419', 'username': 'wealth_mgmt'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.5
egor_mq,550000000000000000,12/30/2014,13:04:25,236558431,Егор Максимов,,телеканал @rbc  ворует нашу картинку. красавцы просто.,['rbc'],[],[],1,9,4,[],[],https://twitter.com/egor_mq/status/549989399438843905,False,,0,"[{'user_id': '236558431', 'username': 'egor_mq'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.7
devindthorpe,550000000000000000,12/29/2014,21:47:00,528177366,Devin D. Thorpe,,#1 most popular #podcast of 2014 with @devindthorpe:  http://buff.ly/1A1Bu2Q  @rbc #ceo John Taft #csr #itunes #stitcher,"['devindthorpe', 'rbc']",['http://buff.ly/1A1Bu2Q'],[],0,0,0,"['#podcast', '#ceo', '#csr', '#itunes', '#stitcher']",[],https://twitter.com/devindthorpe/status/549758524533014528,False,,0,"[{'user_id': '528177366', 'username': 'devindthorpe'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.1
ratnaomi,550000000000000000,12/29/2014,14:02:52,112475398,Senator Ratna Omidvar,,"RT @hireimmigrants: Workplace #diversity: To win your market, you need to hire the market @RBC  http://bit.ly/H6Ers4  #diversity #HR...","['hireimmigrants', 'rbc']",['http://bit.ly/H6Ers4'],[],0,2,1,"['#diversity', '#diversity', '#hr']",[],https://twitter.com/ratnaomi/status/549641720477270016,False,,0,"[{'user_id': '112475398', 'username': 'ratnaomi'}, {'user_id': '381648405', 'username': 'hireimmigrants'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
laurabrownctv,550000000000000000,12/29/2014,09:31:36,195796125,Laura Brown,,We're talking what's to come for 2015's economic outlook. @RBC says #NB is set to add jobs following 4 years of declines. @Global_NB #nbpoli,"['rbc', 'global_nb']",[],[],0,2,1,"['#nb', '#nbpoli']",[],https://twitter.com/LauraBrownCTV/status/549573453951401984,False,,0,"[{'user_id': '195796125', 'username': 'LauraBrownCTV'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '1299926586', 'username': 'Global_NB'}]",,-0.1
squawkcnbc,550000000000000000,12/29/2014,08:43:14,404422077,Squawk Box,,Facebook or Twitter? @RBC's Mark Mahaney weighs in on the battle of the social stocks. $fb $twtr,['rbc'],[],[],4,2,3,[],"['$fb', '$twtr']",https://twitter.com/SquawkCNBC/status/549561283159543809,False,,0,"[{'user_id': '404422077', 'username': 'SquawkCNBC'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
marthmcc,549000000000000000,12/28/2014,13:09:49,164160984,Martha McCabe,,@JenBotterill lookin good on TV Jen!! Keep it up @RBC #RBCOlympians,"['jenbotterill', 'rbc']",[],[],0,0,1,['#rbcolympians'],[],https://twitter.com/MarthMcC/status/549265981655105536,False,,0,"[{'user_id': '164160984', 'username': 'MarthMcC'}, {'user_id': '133494590', 'username': 'JenBotterill'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.2
tpschrisboddy,549000000000000000,12/27/2014,15:12:52,344754757,Chris Boddy,,@shananigins15 @RBC @HockeyCanada Ha ha. Right! :) #GoCanadaGo,"['shananigins15', 'rbc', 'hockeycanada']",[],[],0,0,2,['#gocanadago'],[],https://twitter.com/TPSChrisBoddy/status/548934558469869568,False,,0,"[{'user_id': '344754757', 'username': 'TPSChrisBoddy'}, {'user_id': '201323592', 'username': 'shananigins15'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}]",,0.2
c_woodside,549000000000000000,12/27/2014,15:11:53,398214539,Candace Toma,,"“@RBC: @c_woodside we all wear red & white this time of year, thanks for supporting the @HC_Men! #WJC2015  pic.twitter.com/44jFj3yTqS” love it!","['rbc', 'c_woodside', 'hc_men']",[],['https://pbs.twimg.com/media/B540xg7IgAAOwH0.jpg'],0,0,1,['#wjc2015'],[],https://twitter.com/c_woodside/status/548934314205790208,False,,0,"[{'user_id': '398214539', 'username': 'c_woodside'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '202269158', 'username': 'HC_Men'}]",,0.8
c_woodside,549000000000000000,12/27/2014,15:09:33,398214539,Candace Toma,,@RBC @HockeyCanada #GoCanadaGo @HC_WJC,"['rbc', 'hockeycanada', 'hc_wjc']",[],[],1,0,0,['#gocanadago'],[],https://twitter.com/c_woodside/status/548933726017560576,False,,0,"[{'user_id': '398214539', 'username': 'c_woodside'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}, {'user_id': '199846785', 'username': 'HC_WJC'}]",,0.0
tpschrisboddy,549000000000000000,12/27/2014,15:08:23,344754757,Chris Boddy,,@RBC @HockeyCanada #GoCanadaGo,"['rbc', 'hockeycanada']",[],[],0,0,2,['#gocanadago'],[],https://twitter.com/TPSChrisBoddy/status/548933431976275968,False,,0,"[{'user_id': '344754757', 'username': 'TPSChrisBoddy'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}]",,0.0
tpschrisboddy,549000000000000000,12/27/2014,15:08:14,344754757,Chris Boddy,,Our boys will be wearing red tonight! #GoCanadaGo cc @RBC @HockeyCanada #WJC2015 pic.twitter.com/Z5IJS5LLmA,"['rbc', 'hockeycanada']",[],['https://pbs.twimg.com/media/B540A3QIAAEcHTV.jpg'],2,10,6,"['#gocanadago', '#wjc2015']",[],https://twitter.com/TPSChrisBoddy/status/548933394110107648,False,,0,"[{'user_id': '344754757', 'username': 'TPSChrisBoddy'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}]",,0.0
tpschrisboddy,549000000000000000,12/27/2014,15:08:09,344754757,Chris Boddy,,Our boys will be wearing red tonight! #GoCanadaGo cc @RBC @HockeyCanada #WJC2015 pic.twitter.com/FROM8Ohdv8,"['rbc', 'hockeycanada']",[],['https://pbs.twimg.com/media/B54z_uuIcAI-rCn.jpg'],0,2,5,"['#gocanadago', '#wjc2015']",[],https://twitter.com/TPSChrisBoddy/status/548933374661128192,False,,0,"[{'user_id': '344754757', 'username': 'TPSChrisBoddy'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}]",,0.0
ottawacity,549000000000000000,12/27/2014,09:25:09,17897698,City of Ottawa,,Skate off those holiday eats! @RBC sponsors public skating on weekends 'til March at #ottcity arenas. Schedules here:  http://ow.ly/GlQlZ ,['rbc'],['http://ow.ly/GlQlZ'],[],1,10,7,['#ottcity'],[],https://twitter.com/ottawacity/status/548847052604854273,False,,0,"[{'user_id': '17897698', 'username': 'ottawacity'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
ottawaville,549000000000000000,12/27/2014,09:25:07,27943431,Ville d'Ottawa,,Faites de l’exercice en patin! @RBC commandite le patinage public aux arénas #ottville les fins de semaine. Horaires:  http://ow.ly/GlQvA ,['rbc'],['http://ow.ly/GlQvA'],[],0,1,1,['#ottville'],[],https://twitter.com/ottawaville/status/548847047680741377,False,,0,"[{'user_id': '27943431', 'username': 'ottawaville'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
