username,id,date,time,user_id,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to,retweet_date,score
kitconewsnow,416000000000000000,12/24/2013,13:50:26,138513820,Kitco NEWS,,"Short Covering Lifts #Gold In Light Volume Trade, Positioning Ahead Of Year-End Seen — @RBC ▸▸  http://OnKit.co/s2W2A",['rbc'],['http://OnKit.co/s2W2A'],[],0,1,0,['#gold'],[],https://twitter.com/KitcoNewsNOW/status/415555082223353856,False,,0,"[{'user_id': '138513820', 'username': 'KitcoNewsNOW'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.2
kitconewsnow,416000000000000000,12/24/2013,13:41:02,138513820,Kitco NEWS,,"Position Squaring Occurring In Thin Comex #Gold & #Silver Trading  — @RBC's Gero ▸▸  http://OnKit.co/s2XIJ 
$GC_F $SI_F",['rbc'],['http://OnKit.co/s2XIJ'],[],0,0,0,"['#gold', '#silver']","['$gc_f', '$si_f']",https://twitter.com/KitcoNewsNOW/status/415552715843186688,False,,0,"[{'user_id': '138513820', 'username': 'KitcoNewsNOW'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.3
schulichmeddent,416000000000000000,12/24/2013,11:45:56,238197220,Schulich WesternU,,"Take some time over the holidays & apply for @RBC Students Leading Change #Scholarship. Winner receives $10,000  http://ow.ly/riquA",['rbc'],['http://ow.ly/riquA'],[],0,0,0,['#scholarship'],[],https://twitter.com/SchulichMedDent/status/415523748834709505,False,,0,"[{'user_id': '238197220', 'username': 'SchulichMedDent'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
ciscocanada,414000000000000000,12/20/2013,13:05:00,14774307,Cisco Canada,,Les clients paient des articles par téléphone intelligent grâce à la collaboration de @Bell_Mobility et @RBC laisser http://bit.ly/1jFo8BY,"['bell_mobility', 'rbc']",[],[],0,0,0,[],[],https://twitter.com/CiscoCanada/status/414094094739447809,False,,0,"[{'user_id': '14774307', 'username': 'CiscoCanada'}, {'user_id': '847407552', 'username': 'Bell_Mobility'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.7
ciscocanada,414000000000000000,12/20/2013,13:00:05,14774307,Cisco Canada,,.@Bell_Mobility and @RBC are joining forces allow customers to pay for items via their smartphones  http://bit.ly/1jFo8BY,"['bell_mobility', 'rbc']",['http://bit.ly/1jFo8BY'],[],0,1,1,[],[],https://twitter.com/CiscoCanada/status/414092859135238144,False,,0,"[{'user_id': '14774307', 'username': 'CiscoCanada'}, {'user_id': '847407552', 'username': 'Bell_Mobility'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.8
komak,414000000000000000,12/19/2013,11:52:03,720169153,Komak,,Congrats to @RBC prepaid VISA winner @Kuch1. $2 from every card purchased supports Canadian Olympic Foundation. pic.twitter.com/GW6AYb7Anv,"['rbc', 'kuch1']",[],['https://pbs.twimg.com/media/Bb3OGZ_IYAEn7ST.jpg'],1,2,4,[],[],https://twitter.com/Komak/status/413713350410121216,False,,0,"[{'user_id': '720169153', 'username': 'Komak'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '25210027', 'username': 'Kuch1'}]",,0.0
kidshelpphone,414000000000000000,12/19/2013,10:28:50,18597602,Kids Help Phone,,"Did you know that @RBC is   donating $1 to Kids Help Phone for every e-Transfer messaged via Facebook, up to $100K?  http://bit.ly/1f7gKf6",['rbc'],['http://bit.ly/1f7gKf6'],[],0,17,1,[],[],https://twitter.com/KidsHelpPhone/status/413692408488947712,False,,0,"[{'user_id': '18597602', 'username': 'KidsHelpPhone'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.1
curlercups,414000000000000000,12/19/2013,09:52:12,253633925,Brad Jacobs,,Come down to @RBC main branch in S.S.M. and sign the banner wishing us well to #Sochi2014 #cake #coffee pic.twitter.com/GOmL4wVWfy,['rbc'],[],['https://pbs.twimg.com/media/Bb2yqz8IIAErLgo.jpg'],1,3,6,"['#sochi2014', '#cake', '#coffee']",[],https://twitter.com/curlercups/status/413683189446893568,False,,0,"[{'user_id': '253633925', 'username': 'curlercups'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.2
saaq,414000000000000000,12/19/2013,09:38:43,262315904,SAAQ,,@simboodamn @RBC Nous sommes à développer ce service. Le tout devrait être disponible d'ici le printemps 2014.,"['simboodamn', 'rbc']",[],[],0,0,0,[],[],https://twitter.com/SAAQ/status/413679795587661825,False,,0,"[{'user_id': '262315904', 'username': 'SAAQ'}, {'user_id': '48743684', 'username': 'simboodamn'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.4
cbccalgary,414000000000000000,12/19/2013,08:21:46,18999809,CBC Calgary,,The donations keep rolling in! Al Block from @RBC dropped by with $20k on Blitz Day #cbcfeedyyc #cbc pic.twitter.com/kMjogXlmWH,['rbc'],[],['https://pbs.twimg.com/media/Bb2d-DvIYAEvOjX.jpg'],0,2,1,"['#cbcfeedyyc', '#cbc']",[],https://twitter.com/CBCCalgary/status/413660430591348736,False,,0,"[{'user_id': '18999809', 'username': 'CBCCalgary'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
