username,id,date,time,user_id,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to,retweet_date,score
yashyanthi,1210000000000000000,12/31/2019,15:40:00,23365569,Yashy Murphy,,Hey @RBC any idea why the Bay and Dundas Street location is closed? Very frustrating that they keep random hours,['rbc'],[],[],1,0,1,[],[],https://twitter.com/YashYanthi/status/1212111183538524160,False,,0,"[{'user_id': '23365569', 'username': 'YashYanthi'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.5
oneeleven_111,1210000000000000000,12/31/2019,14:15:14,1917443905,OneEleven,,"And finally, our corporate partners play such an important role in our companies’ growth ✨🙌 A big thank you to @Deloitte @msft4startups @SVB_Financial and @crestcomleaders as well as @RBC and @Rogers for all your support in 2019! #BuiltToScale #OneEleven2019 pic.twitter.com/fbbfeLw9Pz","['deloitte', 'msft4startups', 'svb_financial', 'crestcomleaders', 'rbc', 'rogers']",[],"['https://pbs.twimg.com/media/ENI1Sy-XkAIRIX3.jpg', 'https://pbs.twimg.com/media/ENI1S1FXYAIizhu.jpg', 'https://pbs.twimg.com/media/ENI1SzwXYAAKSn5.jpg', 'https://pbs.twimg.com/media/ENI1SzuW4AAXjUh.jpg']",0,0,4,"['#builttoscale', '#oneeleven2019']",[],https://twitter.com/oneeleven_111/status/1212089848552706050,False,,0,"[{'user_id': '1917443905', 'username': 'oneeleven_111'}, {'user_id': '8457092', 'username': 'Deloitte'}, {'user_id': '16887185', 'username': 'msft4startups'}, {'user_id': '17396865', 'username': 'SVB_Financial'}, {'user_id': '3306126150', 'username': 'crestcomleaders'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '82643620', 'username': 'Rogers'}]",,0.3
v_shakthi,1210000000000000000,12/30/2019,06:13:40,18936284,Shakthi Vadakkepat,,Why #automation won’t kill off your job @rbc  https://wef.ch/2VSs1M1  #technology #wef19 pic.twitter.com/nI4eQVTWOL,['rbc'],['https://wef.ch/2VSs1M1'],['https://pbs.twimg.com/media/ENA1z4-XUAAEnp1.jpg'],0,0,0,"['#automation', '#technology', '#wef19']",[],https://twitter.com/v_shakthi/status/1211606272744624130,False,,0,"[{'user_id': '18936284', 'username': 'v_shakthi'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.4
wef,1210000000000000000,12/30/2019,01:00:32,5120691,World Economic Forum,,Best of 2019 Humans wanted: why automation won’t kill off your job @rbc  https://wef.ch/2VSs1M1  #technology #wef19 pic.twitter.com/4k0Juz9apH,['rbc'],['https://wef.ch/2VSs1M1'],['https://pbs.twimg.com/media/ENA1z4-XUAAEnp1.jpg'],6,172,274,"['#technology', '#wef19']",[],https://twitter.com/wef/status/1211527467514650624,False,,0,"[{'user_id': '5120691', 'username': 'wef'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.8
stackhousejohn,1210000000000000000,12/29/2019,07:50:53,154497175,john stackhouse,,Will housing be more affordable in 2020? Stronger income gains will help. Read more in @rbc’s latest #housing report https://thoughtleadership.rbc.com/stronger-income-gains-ease-housing-affordability-pressures-in-canada/ …,['rbc'],['https://thoughtleadership.rbc.com/stronger-income-gains-ease-housing-affordability-pressures-in-canada/'],[],0,3,2,['#housing'],[],https://twitter.com/StackhouseJohn/status/1211268349931524097,False,,0,"[{'user_id': '154497175', 'username': 'StackhouseJohn'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
ryanpalmerpga,1210000000000000000,12/28/2019,12:28:18,1549669332,Ryan Palmer,,@Sentry_TOC here we come.  Excited to start 2020 off right.  Ready to rock.  @unisyscorp @UnitedRentals @RBC @JaniKingTowel @JaniKingClean @ThriveHiveSE @projock @Columbia1938 @ChisumSports @Titleist pic.twitter.com/3VXMh7YTfR,"['sentry_toc', 'unisyscorp', 'unitedrentals', 'rbc', 'janikingtowel', 'janikingclean', 'thrivehivese', 'projock', 'columbia1938', 'chisumsports', 'titleist']",[],[],0,4,10,[],[],https://twitter.com/RyanPalmerPGA/status/1210975774007652354,False,,1,"[{'user_id': '1549669332', 'username': 'RyanPalmerPGA'}, {'user_id': '454177716', 'username': 'Sentry_TOC'}, {'user_id': '48402711', 'username': 'unisyscorp'}, {'user_id': '41848888', 'username': 'UnitedRentals'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '4660486948', 'username': 'JaniKingTowel'}, {'user_id': '100611009', 'username': 'JaniKingClean'}, {'user_id': '1009813388464214016', 'username': 'ThriveHiveSE'}, {'user_id': '113357923', 'username': 'projock'}, {'user_id': '284155407', 'username': 'Columbia1938'}, {'user_id': '2612622674', 'username': 'ChisumSports'}, {'user_id': '17070013', 'username': 'Titleist'}]",,0.2
learningcode,1210000000000000000,12/27/2019,16:30:26,322933840,Canada Learning Code,,"🙌 @RBC 🙌 Thanks for your support with our Code Mobiles! With your help, we're able to teach thousands of people in Canada basic digital skills and computer languages.  pic.twitter.com/nmJCEEgEgQ",['rbc'],[],[],0,1,2,[],[],https://twitter.com/learningcode/status/1210674321888292864,False,,1,"[{'user_id': '322933840', 'username': 'learningcode'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
learningcode,1210000000000000000,12/27/2019,14:30:31,322933840,Canada Learning Code,,"🙌@RBC🙌Merci de soutenir les activités de la Code Mobile! Grâce à votre aide, notre équipe peut enseigner des compétences numériques de base et des langages de programmation à des milliers de personnes au Canada.  pic.twitter.com/JIwug3GJnf",['rbc'],[],[],0,1,2,[],[],https://twitter.com/learningcode/status/1210644146538590213,False,,1,"[{'user_id': '322933840', 'username': 'learningcode'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
robinmazumder,1210000000000000000,12/24/2019,15:41:48,43054046,Robin Mazumder,,RBC won't expedite a new bank card nor will they send me a bank card in the UK. I just want to spend my own money... 😑,"['mikepulliam', 'rbc']",[],[],0,0,1,[],[],https://twitter.com/RobinMazumder/status/1209574921380065280,False,,0,"[{'user_id': '43054046', 'username': 'RobinMazumder'}, {'user_id': '234196420', 'username': 'mikepulliam'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.1
torontodotcom,1210000000000000000,12/24/2019,08:00:35,19711734,toronto.com,,"VIBE Arts brings emerging artists’ work to TTC subway stations. Desire Lines program offers paid year-long mentorship to participants.

@VIBEArtsTO @RBC @ttcriders
 http://torstar.co/mDTp50xH3hr  pic.twitter.com/nJEcduTJRb","['vibeartsto', 'rbc', 'ttcriders']",['http://torstar.co/mDTp50xH3hr'],['https://pbs.twimg.com/media/EMjcajXWkAEi11s.jpg'],0,0,0,[],[],https://twitter.com/torontodotcom/status/1209458850425966593,False,,0,"[{'user_id': '19711734', 'username': 'torontodotcom'}, {'user_id': '210946701', 'username': 'VIBEArtsTO'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '87723270', 'username': 'ttcriders'}]",,0.1
